Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.08, -2.64, 10.65, 0.05, 0.28, 0.31
50, -2.85, -2.97, 12.03, -0.20, 0.50, 0.40
100, -4.76, -2.76, 11.87, -0.23, 0.70, 0.57
150, -9.05, -0.81, 15.65, -0.85, 0.51, 0.13
200, -6.88, -1.45, 10.51, -1.32, 0.55, -0.50
250, -6.20, -1.79, 7.20, -1.33, 0.47, -0.70
300, -7.50, -1.76, 4.58, -1.11, 0.25, -1.02
350, -3.93, -2.67, 1.58, -0.67, 0.23, -1.39
400, -1.21, -3.44, 0.33, 0.04, 0.23, -1.16
450, -2.69, -3.22, 0.22, 0.93, 0.44, -0.93
500, -0.43, -3.29, 2.49, 1.22, -0.15, -0.82
550, 1.17, -2.96, 6.32, 1.77, -0.50, -0.34
600, 0.34, -2.28, 10.85, 1.52, -0.50, -0.00
650, -0.19, -3.15, 9.42, 1.27, -0.49, 0.12
700, 2.73, -2.93, 13.71, 1.22, -0.43, 0.51
750, 0.42, -2.51, 14.45, 0.62, -0.05, 0.91
800, -2.37, -1.84, 13.73, 0.29, 0.12, 1.12
850, -4.19, -1.07, 13.41, -0.03, 0.41, 1.17
900, -8.09, -0.11, 12.26, -0.48, 0.50, 0.82
950, -6.75, -0.45, 11.20, -0.69, 0.38, 0.29
