Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.35, 2.27, 16.32, -1.07, 1.02, 0.58
50, -9.27, 3.62, 14.42, -2.42, 1.07, 0.34
100, -16.60, 4.30, 6.05, -3.36, 0.97, -1.11
150, -8.05, -0.46, -4.51, -1.94, 0.88, -2.47
200, -6.56, -2.00, 2.99, -1.01, 0.78, -2.33
250, -1.91, -4.73, -3.95, -0.31, 0.28, -2.07
300, -3.84, -5.27, -8.39, 2.01, 0.70, -1.50
350, 3.50, -3.06, -3.11, 3.64, 0.57, -1.04
400, 7.02, 0.50, 14.17, 3.56, -1.36, 1.14
450, 6.09, 1.69, 17.43, 2.37, 0.18, 2.41
500, -8.58, 5.05, 23.45, 0.32, 0.10, 3.53
550, -18.66, 3.98, 16.48, -1.25, 0.43, 1.42
600, -12.56, 3.48, 9.97, -2.25, 1.20, -0.00
650, -15.52, 1.90, 0.68, -2.39, 0.33, -1.59
700, -2.09, -2.62, -5.11, -0.65, 0.22, -2.09
750, -1.49, -4.46, -5.04, 0.98, -0.05, -1.14
800, 0.19, -2.10, 10.75, 1.92, -0.84, -0.07
850, -5.55, -0.66, 15.47, 0.71, -0.63, 0.34
900, -5.97, -0.91, 14.86, -0.22, 0.11, -0.19
950, -4.20, -2.70, 5.39, -0.49, 0.40, 0.07
