Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -9.85, -0.03, 8.66, -0.37, 0.17, 1.45
50, -8.04, -0.04, 13.30, -0.73, 0.16, 0.82
100, -5.09, 1.16, 12.37, -1.47, 0.38, 1.24
150, -14.17, 1.95, 11.94, -1.91, 0.94, 0.48
200, -13.27, 1.47, 5.25, -2.17, 0.63, -0.62
250, -12.36, 0.66, 3.03, -1.65, 0.54, -1.86
300, -4.02, -1.06, 1.90, -1.14, 0.45, -2.39
350, -4.39, -2.44, 0.03, -0.54, 0.60, -1.99
400, -2.90, -3.38, -0.26, 0.24, 0.84, -1.88
450, -1.28, -3.61, 1.59, 0.91, 0.69, -1.22
500, -2.81, -4.25, 1.58, 1.37, 0.69, -0.79
550, 0.52, -4.33, 2.74, 1.96, 0.43, -0.02
600, -3.06, -2.78, 4.30, 2.16, -0.17, 0.83
650, -5.69, -0.94, 10.44, 2.18, -0.85, 0.96
700, -0.34, -1.23, 15.36, 1.40, -0.63, 1.16
750, -2.56, -0.55, 13.27, 0.42, 0.38, 1.81
800, -10.07, -0.56, 6.73, 0.28, 0.53, 1.83
850, -7.46, 1.41, 16.22, 0.05, 0.31, 1.41
900, -13.13, 1.29, 10.60, -1.14, 0.75, 1.05
950, -10.87, 1.36, 9.28, -1.54, 0.00, 0.19
