Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -8.87, 1.51, 11.39, -1.33, 0.48, 2.25
50, -6.35, 4.41, 13.33, -2.43, 0.24, 2.19
100, -20.35, 4.94, 8.91, -2.76, 0.03, 1.44
150, -18.50, 2.86, 5.86, -2.21, 0.88, -0.80
200, -9.40, 0.92, 4.67, -1.92, 1.15, -2.13
250, -10.25, 0.27, 1.50, -1.62, 0.89, -2.52
300, -7.95, -0.66, -1.02, -0.86, 0.77, -3.14
350, -0.93, -2.39, -0.28, -0.22, 1.11, -2.94
400, -3.55, -3.75, -4.88, 0.73, 1.62, -2.56
450, 4.71, -4.90, -3.61, 2.06, 0.84, -1.59
500, -0.48, -3.06, 0.84, 2.82, 0.63, -0.33
550, 1.95, -2.64, 3.94, 2.95, 0.42, 0.43
600, 1.74, -1.33, 9.73, 2.73, 0.37, 1.59
650, -3.34, 0.74, 9.47, 2.20, -0.02, 2.23
700, -1.32, 1.64, 15.28, 1.74, -0.22, 2.32
750, -7.47, 3.06, 19.86, 0.15, -0.22, 2.71
800, -14.04, 2.58, 16.70, -0.95, -0.16, 2.08
850, -15.61, 4.46, 13.69, -2.22, 0.08, 0.95
900, -15.38, 2.56, 6.22, -2.48, -0.39, -0.36
950, -10.33, -0.15, -0.73, -1.69, 0.25, -1.40
