Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.17, -1.26, 11.63, -0.34, 0.55, 1.78
50, -4.05, 1.41, 14.83, -0.75, 0.62, 2.23
100, -5.68, 3.20, 16.50, -1.61, 1.13, 2.40
150, -21.40, 3.98, 8.30, -2.39, 1.13, 0.72
200, -13.04, 0.99, 1.63, -1.64, 1.30, -1.64
250, -8.46, 1.10, 4.20, -0.95, 0.43, -2.21
300, -7.39, 1.47, 3.44, -0.85, 0.59, -2.88
350, 0.37, -1.52, -0.94, -0.14, 1.24, -2.97
400, 3.44, -3.28, -0.35, 1.01, 1.97, -2.04
450, 0.37, -4.52, -6.15, 1.97, 2.10, -0.68
500, 0.93, -2.25, 1.12, 3.23, 1.46, 0.02
550, 1.43, 0.40, 6.70, 3.31, 0.30, 1.48
600, -4.93, 3.65, 11.51, 2.87, -0.78, 2.33
650, -5.39, 5.65, 23.68, 1.57, -1.27, 2.38
700, -8.22, 5.22, 21.96, -0.62, -0.51, 2.40
750, -13.30, 4.13, 14.77, -1.91, -0.49, 1.56
800, -11.65, 4.01, 13.59, -2.44, -0.91, 0.87
850, -13.16, 3.43, 6.71, -2.77, -0.16, -0.16
900, -10.22, 0.81, 1.25, -1.93, 0.48, -1.46
950, -2.52, -2.17, -1.67, -0.69, 0.55, -1.58
