Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -1.77, 0.18, 13.32, -0.59, 0.34, 2.16
50, -11.25, 3.99, 19.84, -1.74, 0.17, 2.24
100, -17.84, 6.67, 11.15, -3.30, 0.64, 0.96
150, -19.50, 2.09, 1.01, -2.46, 0.88, -1.17
200, -8.36, 0.14, 4.07, -1.46, 0.64, -2.15
250, -7.02, -0.82, 2.11, -1.38, 0.53, -2.08
300, -5.87, -2.57, -4.83, -0.39, 0.66, -2.35
350, -1.79, -3.22, -6.21, 1.35, 0.71, -2.09
400, -1.68, -1.64, 1.14, 2.24, -0.05, -1.43
450, 0.32, -1.21, 6.03, 2.16, 0.19, -0.83
500, 0.42, -1.95, 4.37, 2.28, -0.10, -0.06
550, -0.41, -0.99, 12.36, 1.94, -0.76, 0.54
600, 0.30, -1.39, 11.79, 1.42, -0.57, 1.03
650, -0.15, -0.81, 14.94, 0.95, -0.34, 1.44
700, -8.83, 0.02, 16.42, 0.07, -0.26, 1.72
750, -7.98, -0.21, 15.62, -0.75, -0.10, 1.10
800, -12.21, 0.48, 12.36, -1.33, 0.35, 0.53
850, -12.00, 0.20, 7.18, -1.63, 0.48, -0.28
900, -8.20, -1.80, 2.17, -1.08, 0.34, -0.89
950, -4.03, -2.89, 0.74, -0.32, 0.14, -0.67
