Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.26, 1.49, 13.04, -0.40, 0.67, 2.14
50, -12.35, 1.64, 14.82, -1.11, 0.66, 1.32
100, -7.00, 2.56, 13.55, -2.35, 0.66, 0.97
150, -13.65, 2.38, 7.13, -2.97, 0.45, 0.68
200, -13.64, 1.83, 5.63, -2.37, 1.41, -0.90
250, -10.68, -0.04, 0.75, -1.90, 0.77, -1.83
300, -8.80, -1.93, -0.58, -1.07, 0.51, -2.09
350, -3.36, -3.26, -1.81, -0.32, 0.24, -2.10
400, -2.31, -4.77, -8.27, 1.29, 0.87, -1.62
450, 0.14, -2.75, 0.54, 2.52, 0.15, -0.99
500, -0.00, -1.40, 1.87, 3.12, -0.35, 0.01
550, 3.30, 0.24, 10.41, 3.25, -0.39, 0.62
600, -2.04, 0.26, 16.10, 1.50, 0.53, 2.01
650, -6.48, -0.44, 8.84, 1.02, -0.14, 1.72
700, -4.45, 2.09, 19.24, 0.24, 0.38, 1.97
750, -13.66, 1.40, 12.85, -1.01, 0.07, 1.31
800, -9.98, 1.73, 14.23, -1.64, -0.08, 0.61
850, -13.09, 2.51, 8.81, -2.48, 0.14, -0.06
900, -10.75, 0.51, 3.14, -2.07, 0.11, -1.00
950, -6.49, -1.18, 2.38, -1.50, -0.09, -1.22
