Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.32, -0.70, 7.25, 0.13, -0.01, 0.05
50, -2.86, -1.25, 9.20, 0.18, 0.28, 0.27
100, -2.82, -1.23, 11.51, -0.16, 0.42, 0.75
150, -9.88, 1.02, 13.64, -0.86, 0.29, 0.95
200, -11.35, 0.90, 10.70, -1.19, 0.29, 0.38
250, -12.59, 1.05, 10.08, -1.30, 0.51, -0.33
300, -12.67, 1.75, 10.34, -1.74, 0.34, -1.08
350, -9.44, -0.12, 0.88, -1.56, 0.75, -1.78
400, -3.40, -1.40, -0.63, -0.62, 0.63, -1.85
450, -4.17, -2.17, -3.90, 0.63, 0.86, -1.52
500, 0.41, -1.74, -1.30, 1.83, 0.92, -0.99
550, 2.11, -1.64, -0.40, 2.43, 0.44, 0.04
600, -0.89, -0.10, 10.42, 2.66, -0.01, 1.03
650, -1.35, -0.01, 12.52, 1.43, 0.02, 1.39
700, -3.93, -0.21, 11.04, 0.85, -0.18, 1.78
750, -5.74, 1.76, 16.37, -0.00, -0.23, 2.16
800, -14.48, 2.99, 14.58, -1.06, -0.95, 1.88
850, -17.43, 4.38, 14.37, -1.74, -0.10, 0.62
900, -18.91, 5.80, 10.86, -2.75, 0.93, -1.44
950, -6.86, -0.60, -4.80, -1.88, 0.03, -2.01
