Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.06, -0.51, 7.85, 0.04, -0.01, 0.01
50, -3.80, -0.67, 8.14, 0.12, 0.11, 0.16
100, -2.27, -0.18, 12.66, -0.21, 0.27, 0.50
150, -7.65, 0.14, 11.11, -0.79, 0.63, 0.86
200, -6.37, -0.70, 9.93, -1.02, 0.21, 0.55
250, -10.37, 1.35, 11.63, -1.36, 0.45, 0.69
300, -13.37, 1.22, 10.27, -1.67, 0.72, -0.45
350, -9.45, 0.14, 5.99, -1.84, 0.69, -1.00
400, -9.53, -0.81, 2.64, -1.60, 0.60, -1.56
450, -5.45, -2.15, 0.21, -0.93, 0.88, -1.64
500, -4.34, -3.29, -4.21, -0.14, 1.09, -1.79
550, -0.78, -4.16, -4.97, 1.65, 0.65, -1.21
600, 0.29, -2.35, 0.39, 2.43, -0.04, -0.22
650, 1.26, -1.39, 6.51, 2.54, -0.54, 0.49
700, 2.88, -0.97, 10.23, 2.08, -0.25, 1.31
750, -1.74, 0.13, 11.48, 1.20, -0.23, 2.48
800, -11.51, 1.02, 13.31, 1.02, -0.39, 1.80
850, -5.28, 2.24, 19.67, -0.21, 0.04, 1.61
900, -15.05, 2.81, 14.38, -1.45, 0.04, 1.37
950, -15.60, 3.43, 11.06, -1.97, 0.46, -0.12
