Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -8.86, 0.05, 11.93, -0.82, 1.01, 1.14
50, -7.38, 0.89, 13.01, -1.63, 0.64, 0.87
100, -13.63, 2.37, 12.34, -2.41, 0.04, 0.73
150, -15.16, 2.75, 8.60, -2.49, 0.98, -1.01
200, -9.01, -0.64, 1.49, -2.09, 1.21, -1.87
250, -7.84, -1.72, -0.33, -1.41, 0.74, -1.85
300, -7.41, -2.42, -1.19, -0.61, 0.47, -2.21
350, -0.53, -4.52, -6.16, 0.37, 0.66, -1.79
400, -2.21, -3.64, -11.93, 3.00, 0.64, -1.19
450, 1.31, 0.86, 5.49, 3.98, -0.57, -0.08
500, 5.10, -0.40, 7.20, 3.56, -0.22, 0.61
550, 4.01, 1.74, 15.45, 2.55, 0.63, 2.23
600, -11.15, 2.22, 10.61, 1.40, -0.31, 2.60
650, -3.07, 3.78, 21.16, 0.66, -0.24, 1.91
700, -8.18, 3.59, 15.96, -0.84, -0.28, 2.26
750, -14.80, 4.66, 15.54, -1.59, 0.37, 1.22
800, -12.88, 4.70, 14.27, -2.69, 0.49, -0.17
850, -10.65, 2.19, 1.97, -2.62, 0.58, -1.09
900, -8.95, 0.85, 4.35, -2.02, 0.42, -1.49
950, -8.48, -0.88, 0.09, -1.48, 0.27, -2.01
