Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -11.73, 2.34, 13.59, -1.31, 0.23, 1.39
50, -14.77, 2.94, 9.86, -2.44, -0.20, 0.34
100, -14.17, 2.52, 8.01, -2.67, 0.04, -0.89
150, -10.80, 0.39, 3.69, -2.16, 0.47, -1.59
200, -10.66, -0.13, 2.99, -1.76, 0.51, -2.31
250, -5.34, -2.12, 0.31, -1.16, 0.64, -2.56
300, 0.01, -3.68, -0.19, -0.51, 0.99, -2.40
350, 0.41, -6.06, -6.94, 0.82, 1.79, -1.26
400, -0.57, -4.64, -5.05, 2.76, 1.27, -0.65
450, 5.18, -1.81, -1.23, 3.75, 0.70, 0.87
500, -2.86, 3.01, 14.26, 3.40, -0.30, 2.12
550, -2.49, 2.18, 17.38, 1.61, 0.40, 2.50
600, -5.55, 1.37, 10.11, 0.66, -0.34, 2.73
650, -7.13, 4.35, 19.42, -0.13, -0.03, 2.76
700, -16.11, 5.00, 16.78, -1.78, -0.30, 2.14
750, -16.23, 4.95, 10.57, -2.49, -0.26, 0.80
800, -17.62, 4.22, 6.61, -2.78, -0.06, -0.69
850, -11.34, 1.81, 1.25, -2.25, -0.18, -1.94
900, -5.20, -0.71, -0.50, -1.64, -0.42, -2.21
950, -2.36, -3.21, -4.22, -0.59, -0.23, -1.87
