Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.56, -1.38, 10.62, -0.07, 0.02, 0.11
50, -2.29, -1.96, 11.02, -0.30, 0.21, 0.42
100, -6.12, -1.34, 13.33, -0.62, 0.32, 0.59
150, -9.69, -0.12, 13.34, -1.21, 0.52, 0.21
200, -10.44, 0.02, 12.13, -1.68, 0.33, -0.48
250, -7.96, -0.83, 6.06, -1.75, 0.38, -1.08
300, -7.37, -1.49, 4.06, -1.36, 0.36, -1.50
350, -3.26, -2.99, 0.11, -0.73, 0.30, -1.55
400, -1.46, -3.49, 0.06, 0.11, 0.56, -1.39
450, -1.63, -3.58, 1.29, 1.06, 0.61, -0.96
500, -2.76, -3.83, 1.29, 1.08, 0.15, -0.61
550, 1.81, -3.73, 5.94, 1.62, -0.43, -0.36
600, 2.39, -3.56, 6.55, 1.64, -0.35, 0.35
650, 2.60, -2.65, 11.26, 1.46, -0.43, 0.83
700, -1.46, -2.27, 11.59, 1.17, -0.26, 1.26
750, -0.55, -2.54, 12.09, 0.86, -0.45, 1.31
800, -5.76, -0.58, 16.30, 0.51, -0.33, 1.47
850, -7.74, 0.82, 17.21, -0.47, -0.02, 1.08
900, -7.85, 0.01, 11.71, -0.92, 0.31, 0.58
950, -8.05, 0.43, 11.87, -1.36, 0.14, 0.39
