Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.26, 4.36, 17.74, -0.56, -0.56, 3.10
50, -12.08, 4.25, 13.24, -1.52, 0.04, 2.47
100, -10.63, 5.24, 10.23, -1.87, 1.22, 1.72
150, -19.63, 5.66, 10.02, -2.59, 1.01, 0.11
200, -13.59, 4.94, 5.88, -2.88, 0.93, -1.78
250, -8.33, 2.07, -1.27, -2.50, 0.83, -2.52
300, -4.65, -1.79, -4.40, -1.09, 0.93, -2.57
350, -8.21, -2.25, -3.45, 0.14, 0.97, -2.52
400, -0.55, -3.44, -2.38, 1.43, 2.36, -2.58
450, 0.48, -4.52, -1.28, 2.41, 2.85, -1.29
500, -4.26, -2.42, 1.62, 2.94, 2.35, -0.20
550, -5.95, -2.00, 1.79, 2.77, 0.91, 0.25
600, -2.73, -1.23, 4.80, 2.97, 0.21, 0.82
650, 0.22, 0.72, 14.17, 1.99, -0.04, 2.10
700, -4.93, 2.26, 11.03, 0.61, -0.17, 2.90
750, -9.70, 3.64, 10.14, 0.08, 0.00, 3.20
800, -14.93, 3.59, 10.76, -0.54, -0.10, 2.25
850, -11.71, 4.21, 14.11, -1.75, -1.10, 1.53
900, -15.17, 4.20, 8.16, -2.40, -1.09, 1.11
950, -16.92, 4.99, 8.00, -2.92, -1.08, -0.39
