Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.66, 4.32, 15.44, -1.69, 0.48, 2.00
50, -18.87, 7.81, 15.49, -3.24, 0.12, 1.27
100, -18.84, 6.09, 4.06, -3.64, 0.67, -0.97
150, -12.73, 3.21, -1.78, -2.64, 1.22, -2.82
200, -8.15, 0.04, -0.55, -1.41, 1.09, -3.37
250, -1.40, -0.02, -1.24, -0.48, 1.61, -3.90
300, 4.26, -5.18, -8.36, 0.75, 2.11, -2.51
350, -0.45, -4.07, -8.11, 3.15, 1.90, -0.98
400, -1.89, -0.57, 4.54, 3.54, 0.48, -0.05
450, 0.82, -1.35, 11.36, 2.95, 0.30, 0.58
500, 1.64, -0.84, 6.50, 2.19, 0.61, 2.16
550, 1.71, 1.49, 6.91, 2.19, 0.16, 3.40
600, -6.23, 7.36, 13.65, 1.93, -0.27, 4.37
650, -19.32, 9.54, 23.06, -0.02, 0.39, 2.75
700, -13.92, 5.90, 14.93, -1.83, 0.69, 0.94
750, -12.27, 6.98, 10.22, -3.21, -0.78, 0.92
800, -21.09, 7.42, 6.69, -3.51, -0.65, -0.74
850, -12.88, 3.89, -4.11, -2.88, -0.11, -2.82
900, -0.01, -2.34, -6.90, -0.57, 0.71, -2.90
950, 0.01, -4.59, -11.24, 1.71, 0.24, -1.64
