Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.56, -1.04, 9.48, -0.17, 0.21, 0.52
50, -4.75, -1.02, 9.76, -0.29, 0.30, 0.80
100, -4.61, -1.02, 10.59, -0.61, 0.16, 0.94
150, -9.75, -0.89, 8.94, -1.01, 0.54, 0.93
200, -10.06, -0.71, 11.12, -1.25, 0.08, 0.22
250, -11.23, -0.50, 9.61, -1.47, 0.45, -0.23
300, -12.15, -0.79, 6.17, -1.79, 0.62, -1.19
350, -8.27, -1.67, 3.91, -1.34, 0.45, -1.87
400, -4.78, -2.84, 1.73, -1.03, 0.53, -1.78
450, -5.08, -3.72, -1.18, -0.23, 0.52, -1.82
500, 0.33, -4.24, -0.64, 0.79, 0.95, -1.35
550, -0.72, -4.87, -4.17, 2.04, 1.58, -0.43
600, 0.89, -2.39, 3.51, 2.52, 0.62, 0.41
650, -4.52, -0.60, 9.03, 2.43, 0.16, 1.27
700, -2.51, -0.54, 12.28, 1.39, -0.25, 1.32
750, -3.37, -1.09, 10.77, 0.91, 0.03, 1.69
800, -5.15, -0.56, 14.21, 0.19, -0.49, 2.20
850, -9.76, 1.64, 16.50, -0.66, -0.17, 1.97
900, -13.64, 1.80, 12.20, -1.58, -0.14, 1.25
950, -13.57, 1.94, 9.73, -2.02, -0.34, 0.40
