Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -9.86, 5.39, 20.18, -2.58, 0.26, 1.77
50, -23.63, 8.56, 11.63, -4.37, -0.39, 0.66
100, -17.83, 3.81, -4.43, -3.86, 0.55, -2.32
150, -6.18, -1.41, -1.77, -1.38, 0.92, -3.20
200, -6.02, -0.98, 5.49, -0.89, 0.87, -2.97
250, -2.76, -3.91, -3.09, -0.13, 1.60, -2.66
300, 0.04, -5.64, -5.71, 1.82, 2.27, -1.98
350, 5.36, -5.51, -5.88, 3.45, 2.67, -0.92
400, 8.94, 0.20, 1.56, 4.37, 2.14, 1.67
450, -2.90, 4.60, 19.74, 2.93, 0.35, 3.29
500, -7.74, 1.76, 9.40, 0.83, 0.06, 2.73
550, -5.66, 2.35, 15.04, 0.41, -0.18, 2.86
600, -14.75, 5.32, 18.76, -1.37, -0.75, 2.50
650, -12.20, 4.87, 11.20, -2.74, -1.33, 1.69
700, -17.38, 5.47, 11.43, -2.89, -0.62, 0.48
750, -14.26, 4.43, 3.91, -3.31, 0.18, -1.45
800, -9.83, -0.33, -2.33, -1.92, 0.40, -2.35
850, -3.55, -2.85, -2.15, -0.64, 0.49, -2.47
900, -1.61, -4.96, -7.93, 0.89, 0.70, -1.68
950, -2.59, -2.83, 0.36, 2.79, 0.40, -1.53
