Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.65, 2.50, 15.80, -0.37, 0.72, 1.82
50, -11.58, 2.38, 11.30, -1.28, 0.89, 1.97
100, -7.77, 2.19, 13.01, -1.88, 0.75, 0.41
150, -6.10, 4.09, 12.67, -2.98, 1.45, 0.94
200, -15.02, 1.67, 3.13, -2.84, 1.09, -0.12
250, -13.82, -0.68, 2.15, -1.65, 1.73, -1.57
300, -9.41, -0.96, 3.04, -1.36, 1.27, -2.10
350, -7.29, -2.82, 0.27, -0.94, 1.63, -2.55
400, -3.57, -4.65, -4.01, -0.18, 1.48, -2.07
450, -2.53, -5.42, -5.65, 1.37, 1.20, -1.33
500, -7.00, -3.71, -5.17, 2.72, 1.30, -0.73
550, 1.55, -3.02, -2.10, 3.23, 1.20, -0.38
600, -2.98, 1.07, 7.42, 4.00, 0.08, 1.34
650, -2.99, 0.09, 9.82, 2.62, -0.08, 1.46
700, -1.86, 1.10, 12.99, 1.60, -0.37, 2.03
750, -0.02, 2.61, 14.04, 0.55, -0.04, 3.29
800, -11.30, 4.76, 13.49, -0.42, -0.28, 3.28
850, -14.80, 4.73, 14.34, -1.68, -1.17, 2.31
900, -12.84, 4.81, 11.48, -2.38, -0.81, 1.55
950, -18.44, 5.26, 10.44, -2.91, -0.82, -0.02
