Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.12, 2.71, 10.30, -0.90, 0.30, 2.74
50, -8.21, 3.36, 10.31, -0.87, -0.06, 2.79
100, -12.04, 8.05, 18.25, -2.23, -0.38, 2.29
150, -17.19, 7.59, 10.90, -3.32, 0.26, 0.81
200, -15.56, 5.05, 4.38, -3.05, 1.07, -1.34
250, -9.11, 3.59, 3.74, -2.52, 0.93, -2.64
300, -6.74, 0.99, 0.42, -1.82, 0.83, -3.06
350, -5.49, -1.03, -2.14, -0.78, 1.24, -3.31
400, 2.42, -3.58, -1.44, 0.48, 1.39, -2.86
450, -0.83, -5.32, -5.83, 1.78, 2.01, -1.61
500, -1.16, -3.77, 1.54, 2.76, 1.55, -0.98
550, -2.35, -3.09, 2.96, 2.90, 1.04, -0.18
600, 1.02, -0.40, 6.60, 3.39, 0.47, 0.94
650, -4.75, 1.82, 13.72, 2.26, 0.56, 1.74
700, -4.53, 1.25, 10.62, 1.35, 0.24, 2.36
750, -10.43, 2.25, 10.63, 0.81, -0.28, 2.12
800, -6.11, 2.62, 12.12, 0.46, -0.71, 1.78
850, -4.59, 3.67, 12.88, -0.07, 0.15, 2.17
900, -11.55, 5.34, 17.63, -1.32, -0.05, 1.88
950, -14.09, 5.79, 9.31, -2.57, -0.17, 1.21
