Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.86, 2.23, 6.22, -0.01, 0.09, -0.03
50, -6.92, 2.19, 6.22, -0.02, 0.02, -0.02
100, -6.86, 2.18, 6.24, -0.02, -0.03, -0.01
150, -6.85, 2.21, 6.26, -0.04, -0.15, 0.02
200, -6.92, 2.05, 6.32, -0.03, -0.33, 0.07
250, -6.90, 2.11, 6.45, -0.06, -1.70, 0.56
300, -13.83, 7.51, 27.14, -0.49, -1.45, 0.51
350, -24.18, 13.46, 21.37, -4.04, 0.19, -2.93
400, -2.71, 10.71, 7.48, -4.37, 0.09, -4.25
450, 3.05, 5.20, -3.29, -4.37, 0.17, -3.78
500, 8.01, -6.09, -19.94, -2.08, -0.79, -2.31
550, 10.75, -9.27, -20.93, 2.01, -0.35, -0.10
600, 3.41, 1.37, -3.09, 4.37, -0.04, 1.65
650, -4.11, 6.59, 14.33, 4.37, 0.04, 1.72
700, -4.47, 6.69, 26.24, 3.24, 0.03, 2.42
750, -26.95, 6.71, 30.82, -0.37, 0.24, 0.23
800, 1.50, 0.82, 12.62, -2.18, 0.12, -1.77
850, 8.87, -1.60, 1.67, -2.30, 1.05, 0.30
900, -2.34, -4.22, -14.21, 0.56, 0.32, 1.20
950, -7.76, 1.07, 7.40, 1.87, -0.08, 1.62
