Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.60, -2.10, 4.30, 0.63, 1.67, 1.05
50, -9.73, 1.10, 6.32, 0.60, 1.70, 1.66
100, 0.87, 1.35, -2.77, 1.60, 2.14, 2.50
150, -19.80, 5.40, 8.24, 1.45, 1.86, 2.86
200, -39.57, 6.24, 23.63, -0.62, 0.58, -0.48
250, -34.20, 17.42, 7.18, -2.95, -0.72, -4.37
300, -5.72, 26.97, -3.55, -3.53, -0.04, -4.37
350, 15.71, 13.06, -11.83, -2.61, 0.02, -4.37
400, 35.44, -7.83, -15.77, 0.35, 0.34, -2.73
450, 20.67, 0.21, -16.20, 3.39, 1.74, 3.52
500, 8.26, 16.56, -12.09, 4.37, 1.94, 4.37
550, -12.67, 24.87, 24.99, 4.37, 2.28, 4.37
600, -68.10, 9.35, 15.83, -0.41, 0.06, 1.91
650, -15.67, 5.34, 19.07, -0.66, -0.62, -2.85
700, -9.55, 4.23, 18.79, -3.01, 0.60, -2.64
750, 4.25, 2.93, 2.94, -4.18, -0.85, -1.91
800, 42.34, -4.51, -24.14, -2.03, 0.12, 2.53
850, -23.43, 19.28, -0.08, 2.98, 0.17, 4.37
900, -37.57, 4.78, 8.79, -0.21, 0.17, 0.10
950, -2.60, 0.90, -1.13, 0.38, 0.22, -0.11
