Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.47, 1.90, 6.11, 0.26, -1.78, 0.64
50, -8.83, 2.55, 9.00, -0.13, -0.55, 0.08
100, -7.10, 2.18, 5.20, -0.29, -0.48, -0.13
150, -6.55, 1.86, 7.83, -0.21, -0.41, 0.08
200, -7.75, 2.63, 7.88, -0.59, -0.12, -0.04
250, -3.54, 0.43, 4.28, -0.25, -1.61, 0.47
300, -11.26, 2.83, 19.20, -0.39, -0.64, 0.44
350, -21.69, 6.78, 18.28, -2.94, 0.38, -1.51
400, -6.84, 8.93, 15.44, -4.37, 1.15, -3.36
450, -4.98, 5.26, -3.75, -4.13, 1.16, -3.70
500, 0.76, -0.56, -4.19, -3.09, 0.79, -3.31
550, 0.13, -4.65, 0.21, -2.04, 0.03, -2.18
600, 4.68, -7.97, -7.99, -1.27, 0.69, -1.43
650, 6.42, -8.75, -11.19, 0.74, 0.22, 0.18
700, 2.31, -4.18, -7.98, 2.63, 0.05, 1.50
750, 5.19, 2.04, -5.81, 4.37, -0.80, 2.92
800, -2.01, 7.18, 0.49, 4.37, 0.44, 2.88
850, -9.15, 11.72, 23.45, 4.37, -1.11, 3.72
900, -17.28, 6.48, 14.22, 2.46, 0.10, 1.42
950, -16.33, 5.64, 25.98, 0.42, -0.31, -0.00
