Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.38, 2.82, 7.44, -0.05, -0.24, 0.18
50, -6.92, 2.36, 6.23, 0.03, -0.13, 0.17
100, -6.69, 3.22, 6.17, 0.28, -0.84, 0.55
150, -4.93, 3.12, 7.88, 0.52, -0.54, 0.36
200, -7.20, 3.51, 9.97, 0.20, 0.46, 0.43
250, -18.82, 6.62, 15.48, -0.45, 0.33, -0.63
300, -16.80, 11.51, 26.24, -2.71, 0.08, -2.80
350, -6.72, 14.80, 12.39, -4.37, 0.54, -4.37
400, -0.90, 5.26, -19.69, -4.37, -0.52, -4.13
450, 17.36, -8.40, -36.24, 0.59, -0.58, -3.15
500, 29.16, 2.36, -15.62, 4.37, 1.16, 2.21
550, -5.29, 18.32, 25.32, 4.37, 0.61, 4.37
600, -39.83, 12.27, 34.36, 0.81, 0.37, 1.43
650, -5.72, 5.23, 20.71, -1.91, 0.19, -1.70
700, 9.45, 0.04, 1.92, -2.73, 0.88, 0.00
750, 1.79, -3.45, -14.91, 1.18, -0.06, 1.78
800, -19.07, 4.27, 13.82, 1.10, 0.15, 1.60
850, -9.08, 2.55, 9.05, 0.46, -0.31, -0.22
900, -7.44, 1.86, 7.65, -0.14, -0.18, -0.16
950, -4.93, 1.11, 8.45, -0.00, -0.13, -0.02
