Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.46, 2.80, 5.27, 0.09, -0.11, 0.32
50, -8.07, 3.12, 4.19, 0.42, 0.79, 0.87
100, -13.03, 4.32, 3.15, 0.92, 1.07, 0.71
150, -26.49, 7.15, 18.37, 0.59, 0.97, -0.71
200, -31.49, 12.72, 11.35, -1.95, -0.27, -4.37
250, -18.65, 24.73, 13.75, -4.06, -1.62, -4.37
300, -3.83, 26.19, -5.99, -4.37, -1.34, -4.37
350, 24.74, 4.97, -19.59, -3.77, -0.79, -4.37
400, 39.73, -13.73, -30.57, 0.57, 0.19, -0.26
450, 12.26, 1.87, -9.87, 3.63, 1.84, 4.37
500, 7.23, 12.64, -23.76, 4.37, 1.54, 4.37
550, -11.54, 29.08, 16.18, 4.37, 2.87, 4.37
600, -57.22, 12.56, 24.84, 0.83, 0.90, 3.09
650, -17.98, 5.64, 15.79, -0.15, -0.29, -1.94
700, -8.71, 4.08, 21.96, -2.32, -0.11, -1.43
750, -6.77, 1.79, -2.67, -3.39, -0.69, -1.34
800, 23.24, -7.31, -19.07, -0.48, 0.23, 0.97
850, -17.43, 7.09, 12.32, 1.19, 0.60, 4.37
900, -25.87, 3.01, 3.60, 0.54, -0.05, 0.08
950, -3.73, 0.36, 3.02, 0.01, -0.04, -0.15
