Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -8.05, 1.38, 4.95, 0.00, -0.12, 0.03
50, -8.17, 1.40, 4.94, -0.05, -0.66, 0.17
100, -9.62, 3.22, 11.78, -0.23, -0.31, 0.32
150, -14.83, 3.34, 7.24, -0.96, -0.38, -0.53
200, -4.64, 0.77, 4.33, -0.63, -0.86, -0.56
250, -4.15, 0.79, 4.09, -0.31, -0.24, -0.13
300, 2.70, -0.66, 3.04, 0.22, 0.29, 1.11
350, -11.32, 1.99, 5.90, 0.46, 1.05, 1.96
400, -33.71, 5.86, 22.13, -0.87, 1.07, -0.25
450, -32.87, 15.77, 11.13, -2.72, 0.20, -4.37
500, 8.97, 12.45, 1.79, -3.20, -1.24, -4.37
550, 19.99, -4.40, -11.00, -2.16, -0.09, -3.29
600, 7.93, -7.01, -7.74, 0.08, 0.21, 0.21
650, 9.34, -4.50, -16.15, 1.93, 1.13, 1.80
700, 15.05, 12.53, -19.09, 4.37, 0.96, 4.37
750, -26.12, 30.38, 41.68, 4.37, 0.80, 4.37
800, -52.48, 11.10, 22.31, -0.79, 0.14, -0.31
850, -4.53, 4.16, 8.29, -0.89, -1.06, -2.86
900, -3.93, 4.33, 22.03, -2.88, 0.23, -1.27
950, -0.65, 1.75, -6.80, -3.13, -0.01, -1.32
