Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.89, -0.11, 5.64, -0.13, 0.53, 0.43
50, -10.94, 3.05, 4.88, -0.47, -2.04, 1.05
100, -13.57, 1.92, 4.21, -0.46, -3.83, 0.35
150, -11.30, 2.42, 11.57, 0.11, -1.56, -1.05
200, -9.68, 5.39, 24.03, -1.87, -0.10, -1.95
250, -11.04, 6.35, 13.14, -3.82, -0.20, -2.01
300, -10.17, 7.37, 13.76, -4.08, -0.45, -3.16
350, -0.49, 7.45, 3.94, -4.37, 0.73, -3.42
400, 4.57, -3.25, -10.12, -3.74, 0.51, -2.71
450, 4.57, -7.84, -7.60, -2.08, -0.33, -1.25
500, -0.90, -8.17, -6.67, -0.81, -0.13, -0.40
550, 6.74, -9.83, -16.07, 0.93, 0.35, 0.07
600, -3.37, -3.59, -3.34, 2.83, -0.69, 1.45
650, 4.90, -0.46, -6.74, 4.37, -1.16, 2.33
700, -1.61, 2.49, -6.38, 4.20, 0.92, 1.64
750, 9.41, 16.08, 14.47, 4.37, -1.33, 4.18
800, -27.98, 13.11, 32.74, 2.21, 0.00, 3.41
850, -19.23, 6.49, 27.64, 0.66, -0.51, -0.62
900, -6.43, 3.53, 19.46, -2.02, -0.28, -1.47
950, 1.09, 3.80, 18.75, -3.20, 0.70, -1.03
