Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -10.85, 2.83, 7.59, 0.21, -0.66, -0.28
50, -7.70, 2.77, 11.49, -0.00, -0.08, -0.74
100, -5.30, 2.08, 6.00, -0.31, 0.44, -0.44
150, -4.07, 2.08, 4.74, 0.09, -0.20, 0.20
200, -1.97, 2.98, 8.31, 0.16, 0.56, 0.77
250, -1.60, 2.17, 3.99, 0.02, 0.86, 1.87
300, -18.75, 3.26, 5.86, 0.22, 1.20, 1.48
350, -18.97, 2.48, 15.35, -0.12, 0.75, -0.55
400, -28.83, 7.36, 20.33, -2.55, 0.94, -3.08
450, -21.83, 20.70, 3.97, -4.16, 0.97, -4.37
500, 4.92, 16.71, -6.15, -3.64, -1.93, -4.37
550, 29.71, -3.10, -16.39, -2.20, -1.54, -4.04
600, 26.22, -8.50, -21.67, 1.99, 0.67, 2.11
650, -2.81, 8.77, -14.89, 4.37, 0.91, 4.19
700, 2.09, 15.58, -3.42, 4.37, 0.87, 4.37
750, -34.89, 17.98, 37.59, 4.33, 1.12, 3.37
800, -15.42, 4.87, 15.49, 0.58, -0.14, 0.53
850, -14.90, 3.92, 16.22, -0.48, -0.28, -0.47
900, -10.71, 5.06, 21.42, -2.07, 0.36, -1.06
950, -1.82, 3.20, 0.62, -3.06, -0.24, -1.32
