Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -7.04, -1.12, 6.93, -0.03, 0.05, 0.03
50, -6.23, -1.32, 6.79, -0.02, 0.02, 0.06
100, -6.62, -1.23, 6.22, -0.01, 0.07, 0.09
150, -5.83, -1.04, 8.05, 0.05, 0.13, 0.18
200, -7.27, -1.02, 6.37, -0.08, 0.02, 0.28
250, -5.90, -1.06, 4.64, 0.01, -0.19, 0.40
300, -4.81, -0.09, 9.70, 0.80, 0.91, 1.22
350, -13.53, 1.56, 10.05, 0.19, 1.03, 1.52
400, -25.93, 2.51, 15.34, 0.44, 2.46, 0.47
450, -51.65, 20.69, 18.56, -2.08, 1.84, -4.37
500, 16.40, 19.69, -1.81, -2.94, 0.84, -4.37
550, 25.44, -1.82, -7.67, -1.09, 1.28, -3.90
600, 15.17, -5.01, -11.05, 0.15, 2.32, -0.71
650, 11.38, -2.04, -20.82, 2.41, 2.19, 2.53
700, 9.85, 12.90, -15.82, 4.37, 0.36, 4.37
750, -13.09, 22.15, 41.17, 4.37, -0.30, 4.37
800, -52.11, 3.76, 0.24, -0.70, -0.38, 0.48
850, -13.94, 4.42, 28.59, -0.20, -0.55, -2.20
900, -7.57, 6.02, 21.56, -3.84, 0.18, -2.14
950, 19.91, -0.87, -11.81, -4.23, 0.71, -0.69
