Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.43, 2.05, 7.54, -0.07, 0.05, 0.10
50, -5.93, 1.71, 7.36, 0.05, 0.17, 0.22
100, -6.37, 3.24, 6.71, 0.41, 0.29, 0.40
150, -4.74, 3.14, 7.60, 0.77, 0.21, 0.42
200, -4.93, 3.50, 7.52, 0.97, 0.31, 0.78
250, -10.10, 5.90, 15.18, 0.92, 0.75, 0.96
300, -24.11, 9.37, 25.88, -1.58, 0.87, -1.19
350, -15.27, 14.94, 16.50, -4.26, -0.07, -4.17
400, -9.90, 21.37, 9.66, -4.37, -0.81, -4.37
450, 4.97, 15.51, -6.79, -4.37, -0.92, -4.37
500, 15.68, -3.43, -20.86, -3.41, -0.06, -3.20
550, 16.37, -10.94, -24.98, 1.09, 0.50, -0.21
600, 9.65, -0.72, -19.17, 4.37, 1.10, 2.02
650, 5.45, 16.00, -9.19, 4.37, 1.31, 4.37
700, -20.94, 26.01, 31.01, 4.37, 1.06, 4.37
750, -32.19, 11.62, 40.54, 1.06, 0.68, 0.55
800, -7.90, 4.03, 17.40, -1.81, 0.07, -0.88
850, -7.74, 3.91, 16.84, -2.56, -0.00, -0.50
900, 6.67, -0.95, -7.29, -2.48, 0.09, -0.25
950, 1.17, -1.53, -11.49, 0.82, 0.37, 2.38
