Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.97, 1.85, 6.68, 1.12, 0.72, 1.30
50, -28.40, 5.47, 24.71, -0.18, 0.86, 0.10
100, -28.45, 10.85, 18.31, -3.35, 0.06, -3.69
150, -15.71, 18.91, 2.49, -4.37, 0.21, -4.37
200, 3.57, 15.73, -9.09, -4.23, -0.99, -4.37
250, 30.38, -2.85, -23.19, -1.30, 0.38, -4.22
300, 32.97, -3.79, -24.64, 3.40, 0.59, 2.64
350, 1.14, 19.55, -6.98, 4.37, 0.49, 4.37
400, -11.25, 21.74, 12.32, 4.37, 0.43, 4.37
450, -43.29, 14.26, 38.50, 1.94, 0.79, 1.84
500, -17.64, 6.30, 19.74, -1.09, -0.31, -0.94
550, -10.33, 5.75, 21.22, -2.37, 0.39, -1.54
600, 3.56, 3.89, -1.70, -3.57, -0.25, -1.52
650, 15.44, -4.70, -20.59, -0.78, 0.61, 1.41
700, -19.06, 6.21, 3.82, 2.69, 0.11, 3.22
750, -19.34, 4.47, 18.93, -0.04, -0.24, -0.19
800, -3.19, 0.85, -1.47, -0.13, -0.07, -0.33
850, -10.61, 2.27, 11.17, 0.09, -0.07, 0.16
900, -6.57, 0.58, 2.81, -0.22, -0.05, -0.19
950, -7.11, 0.90, 6.18, 0.10, 0.06, 0.12
