Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 3.56, 1.28, 4.36, -1.09, -0.51, 0.40
50, -6.84, 2.09, 0.69, 0.12, 1.40, 1.61
100, -8.77, 2.07, 8.66, 0.38, 0.99, 1.24
150, -14.89, 0.53, 8.74, -0.19, 1.27, 0.20
200, -27.66, 3.64, 17.82, -1.27, 0.89, -1.87
250, -27.77, 16.68, 12.29, -3.25, 0.37, -4.37
300, 3.02, 16.59, -3.56, -3.81, -1.41, -4.37
350, 22.88, -0.12, -16.93, -1.27, 0.71, -4.37
400, 33.32, -8.51, -14.99, 1.84, 0.56, 1.04
450, 2.53, 9.70, -16.06, 4.37, 1.11, 4.37
500, -10.16, 15.90, 4.21, 4.37, 0.92, 4.37
550, -31.00, 11.61, 30.46, 2.62, 0.83, 2.03
600, -17.34, 4.05, 22.71, 0.83, 0.06, 0.39
650, -14.31, 4.39, 21.79, -1.59, 0.01, -1.09
700, -4.36, 7.07, 14.74, -3.48, 0.04, -1.25
750, 13.58, -1.35, -13.54, -2.63, 0.20, 0.73
800, 1.43, 0.35, -18.23, 1.95, 0.69, 3.68
850, -28.09, 7.59, 20.04, 1.53, 0.79, 2.25
900, -14.96, 3.91, 5.95, -0.35, -0.20, -0.53
950, -4.87, 2.41, 5.34, 0.26, -0.25, -0.13
