Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.27, 3.58, 7.99, -0.02, -0.26, 0.91
50, -8.49, 3.22, 1.84, -0.38, -2.64, 1.23
100, -5.31, 3.51, 9.26, 0.37, -1.98, 1.27
150, -11.60, 5.06, 11.37, -0.16, -0.60, 0.67
200, -18.66, 7.27, 18.12, -0.84, 0.67, -1.30
250, -11.45, 10.68, 22.71, -3.13, 0.95, -3.10
300, -7.24, 14.76, 9.80, -4.37, 1.20, -4.11
350, -0.19, 6.17, -9.31, -4.35, 0.14, -4.24
400, 5.17, -4.54, -14.88, -1.58, -0.49, -2.97
450, 7.47, -6.99, -13.57, 1.20, -0.05, -1.23
500, 11.10, -2.85, -10.64, 3.72, 1.78, 0.73
550, 8.20, 7.94, -7.18, 4.37, 0.59, 3.67
600, -7.85, 15.52, 21.52, 4.37, 0.78, 4.37
650, -25.76, 11.95, 27.63, 1.65, -0.39, 2.90
700, -13.31, 6.03, 10.57, -0.83, -0.73, -1.21
750, -4.51, 4.16, 17.97, -1.54, -0.17, -0.79
800, -6.14, 4.78, 13.18, -2.54, 0.88, -0.72
850, 2.25, -0.56, -7.11, -2.14, -0.38, -0.52
900, 6.46, -3.13, -12.63, 0.98, -0.05, 1.81
950, -16.41, 6.17, 18.29, 1.54, -0.15, 2.38
