Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.59, 2.17, 6.68, 0.26, 0.00, 0.52
50, -5.30, 2.97, 7.68, 0.48, 0.16, 0.88
100, -4.45, 4.37, 6.94, -0.02, 0.70, 1.56
150, -9.08, 4.47, 2.97, 0.34, 0.65, 1.15
200, -13.88, 5.96, 10.40, 0.92, 1.55, 1.02
250, -35.78, 11.76, 24.30, -1.43, 0.84, -2.56
300, -16.37, 19.09, 13.26, -3.36, -0.11, -4.37
350, -2.70, 22.03, 0.08, -4.37, -1.08, -4.37
400, 26.50, 6.93, -17.86, -3.66, -0.14, -4.37
450, 42.74, -11.43, -34.80, 1.74, 0.74, 1.58
500, 0.88, 19.91, -15.87, 4.37, 0.45, 4.37
550, -29.22, 22.74, 32.62, 4.37, 0.75, 4.37
600, -27.83, 6.03, 30.20, 0.31, 0.14, -0.21
650, -10.13, 5.11, 16.28, -1.88, -0.05, -1.40
700, -7.75, 6.47, 11.30, -3.42, -0.09, -1.77
750, 21.37, -4.36, -15.11, -2.10, -0.27, -0.21
800, -7.62, 3.16, -9.35, 2.00, 0.74, 4.02
850, -28.68, 5.76, 21.35, 1.10, -0.14, 0.78
900, -4.23, 1.29, 1.89, -0.21, -0.33, -0.50
950, -9.91, 2.35, 10.47, 0.35, -0.06, 0.36
