Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -31.60, -0.14, -1.98, -0.85, -1.59, 1.15
50, -41.01, 16.53, -9.90, 2.88, -0.32, -4.37
100, 22.88, 19.30, 24.43, 2.70, -1.70, -4.37
150, 30.29, -4.51, 12.54, -0.44, -1.37, -1.64
200, -1.45, -3.27, 6.16, 0.58, 0.65, 0.55
250, -1.68, 0.01, 16.99, -0.10, -0.04, -0.07
300, -2.00, -2.38, 8.59, -0.53, 0.23, -0.22
350, 0.23, -3.20, 9.33, -0.47, 0.10, -0.14
400, -1.67, -3.25, 9.43, -0.44, 0.24, 0.19
450, -4.56, -3.23, 7.47, -0.58, 0.66, -0.00
500, -5.51, -3.26, 6.70, -0.28, 0.47, -0.56
550, -3.57, -4.49, -1.85, 0.03, 0.75, -0.93
600, 10.27, -8.25, -31.58, 4.23, 0.11, -0.59
650, 12.04, 23.99, -1.11, 4.37, 2.02, 2.18
700, -27.49, 23.01, 48.79, 2.23, -0.02, 2.21
750, -2.36, 5.13, 2.91, 0.83, 0.14, -0.79
800, 3.56, 7.43, 17.93, 0.58, 0.24, 0.77
850, -10.29, 7.30, 8.18, -0.44, 0.05, 0.63
900, -3.49, 5.04, 7.54, -0.13, 0.07, -0.48
950, -0.56, 3.85, 6.32, -0.46, -0.03, 0.05
