Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 38.72, 9.82, 21.14, 1.17, -2.70, -4.37
50, 12.89, -1.72, 10.22, -0.73, -1.16, -0.80
100, 2.48, -2.77, 7.24, 0.15, 0.05, -0.95
150, 8.74, -3.14, 9.51, 0.06, -0.05, 0.02
200, -1.26, -3.02, 3.35, 0.52, 0.43, 0.50
250, -3.26, -2.52, -4.99, 2.26, 0.43, 0.04
300, 4.58, 3.66, -2.88, 4.37, -0.04, 0.17
350, 1.30, 10.51, 13.60, 4.37, 0.06, 1.10
400, -5.23, 9.14, 10.61, 3.25, 0.01, 0.49
450, 0.24, 10.63, 15.77, 2.86, 0.09, 0.00
500, 0.96, 10.15, 18.84, 0.83, 0.09, 0.60
550, -3.77, 7.76, 8.75, -0.10, -0.01, 0.14
600, 0.07, 6.15, 6.41, -0.05, -0.05, -0.21
650, 0.45, 6.19, 6.02, 0.04, 0.06, 0.06
700, -0.74, 6.88, 6.92, 0.07, 0.04, -0.02
750, -0.92, 7.67, 9.17, -0.05, 0.04, -0.11
800, -0.72, 8.35, 11.59, -0.58, -0.05, -0.05
850, -1.58, 8.33, 12.15, -1.43, -0.24, -0.24
900, 0.68, 6.88, 8.38, -1.74, 0.30, -0.46
950, 0.55, 7.94, 14.35, -2.16, 0.32, -0.39
