Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -50.64, 14.70, 1.05, 2.68, 0.88, -4.37
50, 21.31, 18.75, 11.77, 1.69, -1.19, -4.37
100, 28.91, -1.69, 11.70, 1.35, -1.23, -2.23
150, 4.89, 0.13, 14.92, 0.43, -0.51, 0.39
200, -1.65, 0.49, 12.27, 0.11, 0.04, -0.06
250, -0.03, -1.37, 9.27, -0.13, 0.02, 0.03
300, -0.60, -1.16, 10.30, -0.12, 0.22, 0.05
350, -3.52, -0.83, 9.11, -0.21, 0.26, 0.12
400, -1.70, -0.69, 10.95, -0.17, 0.04, -0.28
450, -0.96, -2.17, 6.54, -0.22, 0.09, -0.10
500, -4.89, -2.63, 1.32, 0.32, -0.10, -0.19
550, 2.04, -4.74, -19.58, 3.34, -0.04, -0.65
600, 3.43, 11.17, 4.58, 4.37, 0.21, 0.66
650, -5.92, 16.41, 22.45, 4.37, 0.58, 0.42
700, -2.32, 12.47, 26.44, 0.57, 0.04, 0.34
750, -3.21, 6.34, 3.28, 0.11, 0.13, -0.31
800, 0.47, 7.17, 12.00, 0.25, 0.06, 0.28
850, -5.04, 6.81, 7.38, -0.27, -0.06, 0.02
900, 0.19, 5.51, 7.84, -0.24, -0.11, -0.20
950, -1.13, 5.40, 7.71, -0.32, -0.11, 0.12
