Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.83, 22.69, 16.82, 0.82, -2.93, -4.37
50, 40.26, -4.66, 2.29, -1.51, -1.79, -2.98
100, 7.41, -3.49, 5.39, 1.06, 0.23, 0.30
150, -2.07, 0.21, 15.57, 0.13, 0.20, 0.15
200, 1.98, -3.08, 7.59, -0.04, 0.08, -0.09
250, 1.09, -3.09, 9.35, 0.05, 0.02, 0.09
300, 0.75, -2.36, 10.63, -0.02, 0.13, 0.21
350, -0.44, -2.88, 8.29, 0.02, 0.18, 0.15
400, -0.01, -3.50, 6.41, 0.28, 0.01, 0.13
450, -8.46, -4.03, -3.83, 1.21, 0.24, -0.15
500, 2.60, -1.30, -10.45, 4.03, 0.11, -1.27
550, 6.68, 11.41, 11.30, 4.37, 0.31, 0.40
600, -11.63, 12.02, 16.79, 3.44, 0.25, -0.13
650, 8.43, 9.61, 19.86, 2.28, 0.36, -0.19
700, -2.52, 8.73, 13.26, 0.61, 0.23, 0.48
750, -1.01, 7.88, 12.55, 0.13, 0.07, -0.14
800, -0.17, 5.98, 8.12, -0.39, 0.02, 0.11
850, -0.92, 4.73, 5.70, -0.15, 0.08, -0.05
900, 0.27, 4.69, 6.45, 0.06, 0.11, 0.07
950, -2.09, 5.59, 7.36, 0.17, 0.03, 0.09
