Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -10.01, 0.25, 7.22, -0.12, -0.25, 1.09
50, -26.91, 4.04, 9.64, -0.02, -0.11, -0.49
100, -12.25, 5.47, 8.35, -0.44, -0.90, -3.75
150, -0.53, 2.03, 6.85, -0.54, -1.03, -3.62
200, 5.77, -0.44, 5.79, -0.02, -0.35, -3.53
250, 10.63, -2.61, 10.59, 0.14, -0.46, -2.17
300, 6.71, -3.93, 8.22, 0.19, 0.43, -1.00
350, 4.19, -3.46, 10.38, 0.27, 0.20, -0.32
400, -1.07, -2.65, 9.45, 0.18, 0.30, 0.01
450, -0.02, -2.74, 8.98, 0.10, 0.24, -0.37
500, -0.37, -3.42, 3.59, 0.46, 0.53, -0.14
550, -0.43, -3.09, 0.08, 1.25, 0.47, -0.16
600, 2.18, -0.18, 2.50, 2.67, 0.01, 0.16
650, 1.42, 2.24, 5.69, 3.01, 0.11, 0.60
700, -2.82, 5.90, 16.81, 2.34, -0.17, 0.81
750, -4.67, 4.97, 15.20, 1.13, -0.39, 0.24
800, 0.77, 3.39, 12.80, 0.65, -0.32, -0.05
850, 0.39, 2.93, 10.82, 0.55, -0.22, 0.16
900, 0.41, 3.76, 11.90, 0.49, -0.08, 0.24
950, -1.96, 3.95, 11.25, 0.07, -0.01, 0.17
