Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -47.58, 13.23, -6.16, 2.54, -0.54, -4.37
50, 11.03, 19.33, 20.38, 1.32, -2.49, -4.37
100, 19.36, 2.12, 7.99, -0.38, -0.88, -3.97
150, 12.10, -1.19, 13.18, 0.25, -0.15, -1.90
200, 3.90, -2.39, 10.42, -0.44, 0.17, -0.86
250, 3.47, -2.92, 10.22, -0.49, 0.36, -0.48
300, 1.80, -3.37, 9.90, -0.45, 0.43, -0.12
350, -0.63, -3.96, 5.82, -0.41, 0.56, -0.05
400, -0.53, -4.46, 3.99, 0.18, 0.36, -0.01
450, -3.44, -4.32, -4.95, 1.13, 0.98, 0.09
500, 2.35, -1.68, -10.19, 3.87, 1.29, 0.02
550, -0.19, 8.42, 1.77, 4.37, 1.04, 1.33
600, -10.94, 14.48, 24.39, 4.23, 0.82, 0.94
650, -7.00, 9.44, 20.31, 1.11, -0.49, -0.06
700, 2.09, 5.01, 9.96, 0.44, -0.61, -0.18
750, -3.23, 5.54, 12.44, 0.25, -0.14, 0.42
800, -3.98, 5.71, 11.38, 0.07, 0.08, 0.04
850, -2.66, 4.96, 9.75, -0.31, -0.14, -0.03
900, -1.72, 4.85, 8.57, -0.22, -0.05, 0.12
950, -3.31, 5.26, 10.03, -0.42, 0.03, 0.04
