Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 2.32, 12.86, 24.00, 0.32, -1.64, -4.37
50, 10.39, -0.45, -3.21, -0.21, -0.54, -4.34
100, 17.38, -1.15, 17.30, 0.15, -0.46, -2.08
150, 0.14, -3.82, 3.12, 0.22, 0.38, -0.74
200, 2.19, -1.63, 14.34, 0.10, -0.09, -0.75
250, 3.89, -2.94, 10.08, -0.17, 0.16, -0.45
300, 0.64, -3.22, 9.73, -0.02, 0.11, -0.27
350, 1.51, -3.64, 7.82, -0.20, 0.01, -0.02
400, 0.16, -2.91, 10.26, 0.01, 0.20, 0.10
450, -1.25, -3.68, 5.30, 0.05, -0.04, 0.04
500, -1.69, -2.43, 7.15, 0.39, -0.51, 0.11
550, 0.48, -2.78, 1.67, 0.15, -2.27, 0.03
600, 0.36, -3.89, -6.98, 1.67, -2.31, -0.08
650, 5.12, 1.25, 4.55, 3.52, 0.92, -0.58
700, -0.78, 6.30, 9.78, 4.15, 3.92, 0.06
750, -4.12, 10.58, 34.37, 2.43, 0.79, -0.44
800, 0.01, 3.35, 10.87, 0.37, 0.36, -0.36
850, 3.19, 3.20, 11.64, 0.58, 0.41, 0.49
900, -5.91, 4.65, 10.50, 0.08, -0.07, 0.46
950, -1.94, 4.16, 9.80, -0.20, -0.15, -0.25
