Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -48.46, 4.08, 0.55, 0.66, -0.71, -0.36
50, -28.90, 25.36, 6.62, 1.56, -0.85, -4.37
100, 24.90, 16.93, 4.29, 1.24, -2.34, -4.37
150, 38.12, -1.77, 18.61, -0.15, -1.10, -1.44
200, -2.23, -1.13, 6.47, 0.38, -0.14, 0.04
250, 5.20, -0.47, 13.49, -0.28, -0.09, -0.04
300, 0.10, -2.83, 6.58, -0.40, 0.09, 0.11
350, 1.50, -2.52, 9.67, 0.12, -0.07, 0.04
400, 0.20, -1.90, 9.97, -0.24, 0.12, 0.20
450, -1.41, -2.45, 7.35, 0.04, 0.07, 0.03
500, 0.76, -1.66, 11.32, 0.10, -0.01, -0.01
550, 0.08, -2.43, 8.78, 0.02, 0.38, 0.02
600, -0.97, -3.32, 5.05, 0.27, 0.48, 0.03
650, 0.59, -4.18, -0.52, 1.54, 1.09, -0.17
700, 1.06, -1.45, -6.37, 3.35, 1.54, 0.29
750, -2.12, 9.84, -4.81, 4.37, 0.12, 0.82
800, -5.26, 17.80, 39.04, 3.38, -0.42, 0.87
850, -4.03, 6.74, 7.40, 0.68, -0.18, -0.17
900, 3.80, 5.37, 6.54, 1.53, 0.09, -0.03
950, -2.09, 8.11, 12.55, 1.26, 0.11, 0.63
