Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 48.42, 11.88, 16.19, -1.10, -3.54, -4.37
50, 16.57, -4.58, 2.65, -0.57, -0.23, -0.77
100, 0.04, -2.78, 6.62, 0.51, -0.09, -0.34
150, 4.80, -1.74, 12.31, -0.07, -0.14, -0.68
200, -0.50, -2.43, 8.21, 0.00, -0.17, -0.11
250, 5.89, -2.80, 10.74, -0.01, -0.02, -0.18
300, -2.02, -2.37, 7.52, 0.07, -0.04, 0.34
350, 0.63, -2.04, 9.80, 0.15, 0.09, -0.16
400, -0.52, -2.85, 6.09, 0.31, 0.43, -0.14
450, -0.66, -2.61, 2.15, 1.10, 0.81, -0.36
500, -1.99, -1.78, -11.51, 3.10, 0.79, -0.29
550, 4.09, 9.68, 4.47, 4.37, 0.06, -0.13
600, 0.77, 14.13, 33.63, 3.05, -0.75, 1.03
650, -5.54, 5.88, 5.69, 0.73, -0.08, -0.14
700, 3.32, 7.12, 12.10, 1.69, 0.06, -0.55
750, 2.45, 7.27, 13.98, 0.17, -0.03, 0.49
800, -3.17, 5.75, 6.25, 0.04, 0.05, 0.00
850, 0.26, 5.47, 7.80, -0.02, -0.01, -0.02
900, 0.08, 5.55, 7.51, -0.03, 0.00, -0.00
950, 0.38, 6.70, 11.23, -0.09, -0.05, 0.05
