Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -20.98, 8.68, 11.50, 1.23, -1.19, -3.33
50, -0.86, 8.36, 12.65, -0.88, -2.05, -4.37
100, 13.85, 0.21, 0.92, 0.15, -0.91, -3.68
150, 16.39, -0.89, 15.94, 0.35, -0.46, -1.20
200, 3.41, -1.30, 10.57, -0.07, 0.23, -0.12
250, 0.90, -1.78, 9.38, -0.15, 0.22, 0.02
300, -0.55, -1.79, 10.59, -0.17, 0.13, 0.10
350, -1.06, -2.15, 8.64, -0.19, 0.15, 0.01
400, -0.86, -2.29, 7.78, -0.00, 0.14, -0.00
450, -3.18, -2.22, 4.48, 0.38, 0.25, -0.10
500, -1.34, -3.59, -6.98, 1.89, 0.67, -0.47
550, 7.90, 2.95, 1.05, 4.14, 0.70, 0.46
600, -7.35, 9.44, 16.49, 3.26, 0.84, 1.20
650, -5.34, 8.83, 17.71, 1.99, 0.22, 0.19
700, -2.97, 6.01, 12.74, 0.98, 0.08, -0.35
750, -0.28, 5.05, 13.08, 0.42, 0.03, -0.00
800, -1.66, 4.11, 7.81, 0.25, -0.01, 0.17
850, -3.07, 5.32, 11.14, 0.09, 0.02, 0.07
900, -3.07, 4.67, 7.28, -0.04, -0.05, 0.01
950, -0.54, 4.90, 8.77, -0.03, -0.04, -0.04
