Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 7.25, 30.55, 6.68, 4.37, -3.66, -4.37
50, 36.39, 9.48, 27.43, 2.23, -1.18, -4.37
100, 16.30, -2.72, 12.99, -0.78, 0.06, -0.20
150, -3.96, -3.52, 3.45, 0.26, 0.12, 0.54
200, -1.69, -0.71, 14.85, 0.14, -0.26, -0.21
250, -0.49, -2.72, 9.18, -0.26, -0.16, -0.19
300, 1.57, -3.25, 9.17, -0.13, 0.08, -0.09
350, -1.82, -2.38, 9.34, -0.15, 0.12, 0.12
400, -2.14, -2.38, 9.39, -0.13, 0.06, -0.11
450, 0.20, -2.89, 8.71, -0.19, -0.01, -0.03
500, -2.68, -2.90, 7.45, 0.16, 0.33, -0.11
550, -1.66, -2.30, 7.38, 0.22, 0.17, -0.19
600, -2.50, -3.81, -0.17, 1.37, 1.12, -0.62
650, 2.07, -2.97, -2.58, 2.54, 0.96, -0.09
700, -1.20, 4.62, 8.36, 3.62, 0.09, 0.96
750, -1.39, 6.00, 6.77, 3.22, 0.24, 0.88
800, -3.70, 9.98, 16.69, 3.35, 0.58, 0.75
850, -5.60, 8.95, 19.91, 0.61, -0.13, 0.19
900, 1.10, 4.63, 7.82, 0.27, -0.19, 0.26
950, -3.59, 5.75, 10.56, 0.30, 0.10, 0.34
