Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.33, -0.62, 11.54, -0.72, 0.16, 1.14
50, 1.67, -0.69, 8.95, -0.94, 0.02, 2.05
100, -15.05, 1.07, 4.81, -0.56, -0.61, 2.30
150, -40.02, 3.09, -3.79, 0.49, -0.24, -0.84
200, -15.23, 19.33, 8.37, 1.86, -1.64, -4.37
250, 25.59, 9.59, 14.90, 0.68, -1.26, -4.37
300, 23.16, -0.59, 14.21, -0.76, -0.24, -1.47
350, 1.14, -1.75, 7.32, -0.17, 0.42, -0.16
400, -2.15, -1.85, 2.77, 0.04, 1.19, -0.35
450, 5.75, -6.47, -27.91, 3.58, 1.89, 0.01
500, -2.03, 15.61, 6.37, 4.37, 1.23, 1.21
550, -9.20, 17.30, 32.08, 3.98, 1.05, 1.23
600, -11.79, 10.77, 18.54, -0.08, -0.02, -0.15
650, 1.06, 4.53, 5.16, 0.17, 0.05, -0.60
700, -0.73, 5.55, 10.25, 0.09, 0.02, 0.41
750, -5.94, 5.34, 6.16, 0.10, 0.06, 0.33
800, -4.20, 6.33, 9.01, 0.07, 0.01, -0.09
850, -2.96, 5.73, 6.92, -0.10, -0.02, 0.00
900, -2.79, 5.70, 8.16, -0.06, 0.02, -0.01
950, -2.71, 5.39, 7.00, -0.21, 0.07, 0.13
