Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -17.37, 28.25, 4.16, 1.53, -1.39, -4.37
50, 37.06, 14.37, 16.47, 0.47, -3.61, -4.37
100, 27.38, -3.97, 8.42, -1.03, 0.30, -0.90
150, -3.19, -3.10, 3.33, 0.31, -0.10, -0.13
200, 6.17, -1.71, 14.64, -0.04, -0.02, -0.36
250, 1.64, -4.31, 4.97, -0.13, 0.02, -0.02
300, 3.28, -2.63, 12.28, 0.10, 0.05, 0.22
350, -0.51, -2.86, 7.83, -0.12, 0.16, 0.25
400, 1.21, -3.25, 8.89, 0.11, 0.15, 0.21
450, -0.82, -3.40, 6.68, 0.31, 0.48, 0.27
500, -0.02, -4.09, 1.81, 0.98, 0.61, 0.17
550, -6.07, -2.40, -13.59, 3.17, 0.82, 0.10
600, 1.98, 10.46, -7.95, 4.37, -0.21, -0.77
650, 7.62, 17.98, 52.33, 3.37, -0.16, 1.14
700, -11.32, 6.09, 3.68, -0.24, 0.31, 0.11
750, 3.76, 4.22, 9.10, 1.25, 0.13, -0.57
800, 1.10, 6.18, 12.84, 0.57, 0.21, 0.49
850, -5.50, 6.27, 9.88, -0.06, -0.04, 0.13
900, 0.01, 4.31, 6.65, 0.08, -0.08, -0.33
950, 1.43, 4.81, 9.05, 0.06, -0.00, 0.09
