Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.48, -4.22, 7.79, 0.09, -0.17, 0.21
50, -5.48, -3.69, 9.78, -0.07, -0.14, -0.12
100, -6.96, -3.52, 9.40, -0.37, -0.03, -0.29
150, -8.53, -3.41, 8.82, -0.43, -0.39, -0.67
200, -4.89, -3.51, 6.89, -0.45, -0.59, -1.02
250, -4.75, -3.14, 8.00, -0.51, -0.62, -1.18
300, -3.44, -3.66, 5.04, -0.32, -0.70, -1.42
350, -2.33, -3.64, 6.11, -0.08, -0.47, -1.68
400, 0.52, -5.43, 3.31, 0.34, 0.01, -1.56
450, -1.98, -5.08, 6.97, 1.09, -0.24, -1.22
500, -0.56, -4.35, 8.78, 0.95, 0.32, -1.37
550, 4.28, -4.85, 6.41, 1.01, 0.12, -0.91
600, 0.59, -3.46, 9.55, 1.36, 0.31, -0.45
650, 1.68, -2.84, 10.31, 0.97, 0.18, -0.25
700, 4.19, -3.50, 9.40, 0.99, 0.43, -0.01
750, 0.90, -3.10, 7.12, 1.05, 0.25, 0.71
800, -0.19, -2.00, 11.00, 1.19, 0.11, 0.76
850, -2.29, -0.75, 12.69, 0.83, 0.04, 0.93
900, -5.05, 0.22, 15.98, 0.24, 0.19, 0.45
950, -3.72, -0.77, 9.93, -0.36, 0.19, -0.06
