Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.65, 0.10, 11.97, 0.11, -0.04, 0.23
50, -15.44, 2.26, 15.06, -0.44, 0.49, -0.82
100, -12.84, 2.19, 8.36, -1.12, 0.31, -3.01
150, -4.64, 2.09, 6.57, -0.55, 0.22, -4.15
200, 3.03, -0.24, 9.26, -0.57, 0.05, -3.57
250, 2.85, -2.32, 6.44, -0.52, -0.02, -2.64
300, 3.71, -4.29, 6.96, -0.19, -0.42, -1.55
350, 1.33, -4.16, 4.82, -0.01, -0.15, -1.02
400, -0.45, -4.31, 7.99, 0.22, -0.46, -0.90
450, 1.23, -4.81, 5.85, 0.44, -0.11, -0.76
500, 0.83, -4.27, 6.21, 0.93, -0.75, -0.43
550, -1.60, -3.31, 7.16, 1.06, 0.16, -0.45
600, -0.52, -2.76, 3.71, 1.58, -0.31, -0.81
650, 9.58, -1.77, 9.93, 1.99, -0.88, -0.26
700, 10.05, 0.15, 13.92, 1.69, 0.51, 1.33
750, -1.90, 2.24, 13.47, 1.08, 0.45, 2.08
800, -8.49, 2.95, 16.89, 0.27, 0.30, 1.02
850, -4.91, 0.47, 10.89, -0.50, 0.39, -0.30
900, 1.00, -1.28, 7.60, -0.23, 0.16, -0.26
950, -0.12, -0.88, 8.39, -0.00, -0.09, 0.13
