Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.34, -1.18, 7.60, 0.02, 0.05, 0.29
50, -4.31, -0.95, 7.84, 0.13, 0.03, 0.43
100, -4.75, -0.71, 8.33, 0.06, 0.07, 0.62
150, -4.30, -0.54, 7.94, 0.05, -0.05, 0.65
200, -4.75, -0.22, 8.79, 0.03, -0.05, 0.86
250, -6.61, 0.24, 7.88, 0.02, 0.07, 0.67
300, -6.40, 0.31, 8.36, 0.05, 0.09, 0.51
350, -7.39, 0.40, 8.15, -0.01, 0.06, 0.27
400, -11.23, 1.01, 10.09, -0.09, 0.02, -0.28
450, -17.77, 3.08, 10.66, -0.69, -0.44, -1.98
500, -11.97, 3.09, 3.33, -0.36, 0.15, -3.84
550, -0.80, 2.46, 7.40, 0.43, 0.07, -4.12
600, -0.45, -0.22, 9.10, 0.23, -0.04, -3.15
650, 0.50, -1.53, 9.07, 0.12, 0.29, -2.67
700, 1.20, -3.27, 7.73, -0.02, -0.06, -1.82
750, -0.06, -4.07, 8.07, 0.05, -0.24, -1.15
800, -2.00, -4.65, 6.70, 0.07, -0.38, -0.68
850, -3.17, -4.32, 7.81, 0.25, -0.41, -0.68
900, -2.66, -4.13, 8.49, 0.26, -0.35, -0.74
950, -4.55, -3.89, 6.56, 0.29, -0.19, -0.92
