Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.64, -0.26, 8.06, -0.01, -0.00, 0.08
50, -4.22, -0.66, 6.39, 0.07, -0.08, 0.19
100, -8.96, -0.07, 7.62, 0.08, -0.06, 0.34
150, -10.51, 0.38, 6.89, 0.14, -0.06, -0.45
200, -11.03, 1.22, 8.93, 0.00, -0.37, -1.22
250, -7.19, 0.01, 6.90, -0.13, -0.39, -1.66
300, -5.64, -0.78, 6.11, 0.12, -0.30, -1.87
350, -6.00, -0.59, 8.38, 0.16, -0.27, -1.92
400, -2.99, -1.38, 7.93, 0.05, -0.13, -1.86
450, -3.61, -2.12, 8.17, 0.03, -0.18, -1.51
500, -3.85, -2.70, 7.31, 0.01, -0.08, -1.38
550, -2.31, -3.26, 7.43, 0.11, -0.13, -1.22
600, -2.24, -3.31, 8.34, 0.11, -0.19, -0.80
650, -3.43, -3.51, 7.41, 0.13, 0.05, -0.58
700, -6.11, -3.20, 7.00, 0.25, -0.22, -0.75
750, -3.36, -3.56, 7.87, 0.31, -0.28, -0.88
800, -3.64, -3.45, 7.29, 0.35, -0.09, -0.83
850, -3.40, -3.45, 6.98, 0.49, -0.27, -0.77
900, -3.47, -3.17, 6.23, 0.77, -0.10, -0.84
950, -2.94, -2.21, 8.45, 1.02, -0.60, -0.95
