Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.27, -2.29, 8.09, -0.04, 0.02, 0.03
50, -4.72, -2.22, 8.19, -0.04, -0.01, 0.00
100, -4.48, -2.23, 8.25, -0.01, 0.02, 0.01
150, -4.30, -2.28, 8.19, -0.03, -0.02, -0.01
200, -4.52, -2.13, 8.76, 0.00, 0.03, 0.04
250, -4.96, -2.20, 8.15, -0.07, 0.02, -0.03
300, -4.23, -2.27, 8.45, -0.01, 0.03, -0.02
350, -4.92, -2.20, 8.05, -0.04, 0.02, -0.01
400, -4.40, -2.23, 8.19, -0.02, 0.03, -0.05
450, -4.51, -2.29, 8.21, 0.01, 0.03, -0.04
500, -5.40, -2.02, 8.90, -0.06, 0.04, -0.04
550, -6.43, -2.00, 8.51, -0.13, 0.09, -0.28
600, -6.96, -1.79, 9.14, -0.21, 0.24, -0.61
650, -5.94, -2.27, 7.97, -0.32, 0.37, -0.97
700, -5.94, -2.66, 7.17, -0.27, 0.25, -1.10
750, -6.97, -2.84, 6.37, -0.05, -0.13, -1.26
800, -5.96, -2.54, 7.98, 0.07, -0.09, -1.62
850, -2.82, -3.22, 8.53, -0.03, -0.23, -1.72
900, -4.81, -3.13, 8.55, -0.15, -0.15, -1.81
950, -2.17, -3.50, 8.71, -0.25, -0.23, -1.92
