Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.78, -1.20, 7.09, 0.26, 0.19, 0.04
50, -4.49, -0.54, 9.92, 0.41, 0.15, 0.22
100, -4.82, -1.23, 6.60, 0.25, 0.18, 0.38
150, -4.59, -1.33, 4.79, 0.75, 0.36, 0.43
200, -8.41, 0.85, 7.81, 1.19, 0.85, 0.48
250, -25.86, 7.49, 21.96, -0.33, -0.74, -0.74
300, -17.06, 8.16, 4.42, -2.29, -0.18, -4.12
350, -0.94, 3.15, 1.24, -0.08, 0.42, -4.37
400, 1.70, 0.53, 6.60, -0.12, -0.08, -3.90
450, 3.34, -3.19, 4.24, 0.55, 0.29, -2.66
500, 1.83, -3.87, 7.82, 0.44, -0.23, -1.56
550, -0.13, -4.27, 7.67, 0.56, -0.19, -0.87
600, -2.84, -3.61, 8.45, 0.39, -0.40, -0.61
650, -3.32, -3.53, 7.19, 0.44, -0.25, -0.69
700, 2.04, -4.90, -0.87, 0.67, 0.70, -0.81
750, 7.63, -4.42, -7.02, 3.08, -0.86, 0.18
800, 16.66, 6.42, 9.78, 4.37, -0.95, 2.73
850, -9.25, 11.37, 33.45, 1.97, -1.54, 3.23
900, -17.74, 6.58, 19.55, -0.65, 1.35, -0.16
950, 2.16, -0.05, 7.07, -0.47, 0.73, -1.19
