Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.47, -2.13, 6.12, 0.05, -0.04, -0.10
50, -5.41, -2.35, 6.68, 0.00, -0.01, -0.03
100, -7.07, -1.97, 6.89, -0.01, 0.08, 0.07
150, -9.57, -1.46, 6.99, -0.06, 0.03, -0.20
200, -10.92, -1.48, 6.25, -0.14, -0.16, -0.64
250, -13.02, -1.31, 5.36, 0.03, -0.07, -1.52
300, -7.78, -1.55, 5.88, 0.11, -0.35, -2.31
350, -4.23, -2.50, 6.67, 0.23, -0.19, -2.22
400, -4.99, -2.83, 5.81, 0.23, -0.11, -2.08
450, -3.21, -3.90, 6.73, 0.30, 0.06, -2.02
500, -1.67, -4.86, 6.35, 0.39, -0.08, -1.52
550, -2.49, -5.22, 5.11, 0.51, 0.39, -1.20
600, -4.36, -4.71, 6.94, 0.71, -0.07, -0.96
650, -3.26, -4.63, 7.57, 0.71, -0.16, -0.97
700, -3.86, -4.27, 7.79, 0.69, -0.25, -1.00
750, -3.03, -4.60, 6.46, 0.75, -0.20, -0.96
800, -1.09, -4.73, 5.13, 1.03, -0.23, -0.75
850, -3.09, -3.91, 4.03, 1.60, 0.15, -0.89
900, 9.78, -3.11, 6.59, 2.12, -0.92, 0.04
950, 8.84, 0.02, 17.73, 1.79, 0.02, 1.92
