Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.01, -1.41, 5.48, 0.04, 0.00, 0.03
50, -4.80, -0.97, 6.70, 0.24, 0.06, 0.49
100, -14.21, 0.72, 8.64, -0.11, 0.01, 0.13
150, -4.20, -1.23, 4.80, -0.04, -0.06, -0.68
200, -4.91, -1.03, 7.63, 0.11, -0.00, 0.26
250, -10.93, -0.11, 6.57, -0.08, 0.12, -0.09
300, -7.81, -0.62, 5.96, -0.01, -0.02, -0.63
350, -7.25, -0.95, 6.06, 0.10, -0.14, -0.36
400, -11.40, -0.38, 6.46, 0.09, -0.27, -0.85
450, -9.42, -0.57, 6.11, 0.22, -0.27, -1.45
500, -7.16, -1.00, 6.74, 0.22, -0.19, -1.66
550, -8.22, -1.08, 5.40, 0.30, -0.28, -1.94
600, -4.79, -1.83, 5.77, 0.53, -0.07, -2.12
650, -4.28, -2.11, 6.83, 0.56, -0.32, -1.75
700, -7.58, -1.88, 6.90, 0.67, 0.09, -1.97
750, -5.61, -2.00, 7.29, 0.70, -0.26, -2.19
800, -4.41, -2.21, 7.09, 0.71, -0.38, -2.23
850, -3.59, -2.09, 5.26, 0.85, -0.55, -2.33
900, -2.45, -1.16, 3.42, 1.28, -0.93, -2.28
950, 7.98, -1.73, 4.15, 1.73, -1.40, -1.87
