Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -6.98, -2.48, 9.79, -0.17, -0.04, -0.18
50, -8.36, -1.52, 10.83, -0.50, 0.09, -0.61
100, -16.42, 1.36, 13.31, -1.13, -0.14, -2.04
150, -1.82, -1.58, 3.53, -1.62, -0.23, -2.75
200, -0.59, -4.41, -5.59, -0.21, -0.29, -2.24
250, -4.25, -3.30, -4.43, 1.88, -0.89, -2.11
300, 4.19, -1.83, 6.68, 2.50, -1.33, -2.13
350, 6.43, -1.84, 10.64, 2.30, -0.97, -1.18
400, 8.86, -1.54, 14.87, 1.92, -0.68, -0.03
450, 0.52, 0.12, 19.64, 0.81, -0.10, 0.66
500, -2.71, -1.04, 12.37, -0.17, 0.03, 0.19
550, 0.14, -2.04, 8.62, -0.22, 0.04, 0.02
600, -1.08, -1.93, 8.11, 0.12, -0.06, 0.01
650, 0.65, -1.64, 10.80, 0.02, 0.02, 0.01
700, -0.00, -1.73, 10.39, -0.07, 0.12, 0.02
750, -0.76, -1.92, 8.70, -0.10, 0.04, 0.03
800, 0.20, -2.03, 9.08, 0.07, -0.03, -0.01
850, 0.15, -1.64, 10.33, 0.06, 0.03, 0.11
900, -0.97, -1.59, 10.07, -0.09, 0.08, 0.02
950, -0.10, -1.88, 8.98, -0.00, 0.03, 0.01
