Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.28, -2.06, 7.55, -0.07, -0.02, -0.02
50, -5.58, -2.06, 7.50, 0.01, 0.01, -0.01
100, -5.37, -2.02, 7.93, -0.04, -0.03, 0.01
150, -5.55, -2.01, 7.61, 0.01, 0.01, 0.03
200, -5.61, -2.00, 7.80, -0.04, -0.03, -0.03
250, -6.38, -1.99, 7.63, -0.04, -0.09, 0.01
300, -9.03, -1.35, 8.83, -0.10, -0.12, -0.20
350, -13.25, -0.30, 9.56, -0.31, -0.32, -1.14
400, -9.71, -0.48, 9.30, -0.57, -0.14, -1.94
450, -10.13, 0.01, 8.11, -0.83, 0.03, -2.84
500, -9.38, 1.86, 7.85, -0.84, 0.21, -4.12
550, 1.00, -1.35, 0.82, -0.60, -0.42, -4.14
600, 4.56, -3.73, 1.70, 0.28, -0.17, -3.50
650, 6.17, -4.24, 2.52, 0.89, -0.07, -2.69
700, 13.21, -6.17, 1.36, 1.84, 0.25, -1.20
750, 14.48, -3.81, 3.05, 2.85, 0.86, 1.08
800, 9.95, 2.17, 11.26, 3.03, 0.42, 3.86
850, -19.67, 4.68, 20.25, 1.60, 0.12, 2.44
900, -10.29, 0.93, 16.34, 0.69, -0.01, 0.09
950, -1.16, -0.47, 14.22, -0.39, 0.33, -0.37
