Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -5.06, -1.76, 8.78, 0.01, -0.03, -0.09
50, -11.30, -0.48, 9.53, -0.09, -0.10, -0.36
100, -5.86, -1.55, 8.42, -0.24, -0.36, -1.36
150, -5.94, -1.57, 9.48, -0.36, -0.30, -1.19
200, -7.50, -1.31, 9.09, -0.48, -0.04, -1.86
250, -3.64, -2.01, 8.02, -0.57, -0.36, -2.17
300, -1.85, -2.48, 8.69, -0.51, -0.27, -2.17
350, -3.79, -2.22, 8.79, -0.71, -0.13, -2.19
400, -0.76, -3.56, 3.38, -0.32, -0.33, -2.66
450, 6.31, -4.84, 5.21, 0.14, -0.25, -2.10
500, 4.60, -5.54, 2.81, 0.84, 0.34, -1.14
550, 4.94, -5.44, 2.59, 1.66, 0.43, -0.65
600, 14.41, -4.32, 5.63, 2.25, -0.21, 0.66
650, 4.86, 1.33, 12.50, 2.28, 0.37, 2.81
700, -10.92, 2.97, 15.20, 1.43, 0.21, 2.06
750, -8.08, 1.51, 17.01, 0.56, 0.22, 0.39
800, -2.32, -0.48, 12.55, -0.42, 0.31, 0.01
850, -2.48, -1.64, 8.28, -0.31, 0.25, 0.07
900, -1.91, -1.72, 7.95, -0.07, 0.02, 0.01
950, -1.99, -1.37, 8.92, -0.01, -0.02, -0.07
