Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.73, -2.56, 7.86, -0.01, -0.01, -0.00
50, -4.90, -2.44, 8.30, -0.01, -0.02, -0.02
100, -5.15, -2.42, 8.08, -0.00, 0.07, -0.02
150, -9.83, -1.52, 9.37, -0.13, 0.02, -0.42
200, -11.31, -1.12, 8.93, -0.34, -0.25, -1.32
250, -11.76, -0.49, 9.08, -0.38, -0.05, -2.55
300, -5.78, -0.07, 9.21, -0.62, 0.04, -3.40
350, -1.91, -1.70, 6.33, -0.73, 0.10, -3.39
400, -1.74, -2.21, 4.71, -0.24, 0.13, -3.49
450, 4.51, -3.76, 4.42, 0.13, -0.11, -3.20
500, 9.38, -6.30, 3.54, 0.62, -0.08, -1.97
550, 8.50, -6.35, 3.29, 1.40, 0.96, -0.36
600, 6.68, -4.69, 4.86, 1.96, 0.30, 0.74
650, 3.95, -2.00, 8.96, 2.24, 0.15, 2.04
700, -5.66, 0.13, 15.34, 1.64, -0.01, 1.69
750, -7.58, -0.58, 14.34, 0.79, -0.22, 0.61
800, -3.77, -0.46, 15.77, -0.01, 0.04, 0.10
850, -0.94, -2.26, 9.09, -0.43, 0.17, -0.14
900, -0.61, -2.99, 6.97, -0.16, 0.09, 0.11
950, -2.36, -2.43, 8.67, 0.08, 0.05, 0.13
