Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -19.72, -0.02, 9.12, -0.34, 0.11, -1.44
50, -12.50, 1.68, 8.68, -0.70, 0.17, -3.88
100, 1.74, -1.54, 3.56, -0.50, 0.10, -4.15
150, 5.01, -4.78, 6.11, 0.16, -0.01, -2.67
200, -0.40, -5.05, 6.87, 0.14, 0.43, -1.69
250, -2.05, -5.26, 7.05, 0.15, 0.23, -1.55
300, 3.83, -7.13, 3.93, 0.31, -0.18, -0.98
350, 3.69, -6.55, 4.84, 0.94, 0.19, 0.17
400, -2.72, -5.10, 4.43, 1.19, 1.00, 0.75
450, -2.25, -4.80, 2.00, 1.67, 0.44, 0.47
500, -1.76, -2.90, 4.09, 2.47, -0.63, 1.12
550, -1.82, 0.24, 16.43, 2.38, 0.38, 0.59
600, -0.21, -0.00, 13.84, 1.39, -0.45, 1.32
650, -7.53, 1.46, 18.69, 0.11, 0.56, 0.96
700, -8.56, -0.88, 7.86, -0.37, 0.32, 0.24
750, -5.90, -1.41, 6.11, -0.07, 0.10, -0.30
800, -2.52, -1.51, 8.48, 0.17, -0.17, -0.29
850, -4.76, -0.64, 10.63, 0.03, -0.10, -0.11
900, -4.84, -0.96, 10.50, -0.20, -0.20, -0.42
950, -4.85, -0.90, 11.00, -0.47, -0.15, -0.49
