Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.95, -1.12, 8.23, -0.02, 0.09, 0.19
50, 0.43, -1.66, 8.09, -0.06, 0.40, 0.58
100, -5.26, -0.67, 4.96, 0.26, -0.10, 1.54
150, -13.57, 1.33, 11.25, 0.24, -0.09, 0.58
200, -18.56, 3.46, 13.05, -0.56, 0.02, -1.29
250, -10.57, 2.65, 8.26, -0.76, -0.10, -2.88
300, -7.09, 2.61, 10.81, -1.01, -0.08, -3.57
350, -1.50, 0.29, 7.99, -1.06, 0.12, -3.77
400, 6.31, -3.69, 3.28, -0.57, -0.40, -2.65
450, -1.23, -4.44, 7.31, -0.18, -0.55, -1.50
500, 0.11, -4.49, 6.14, -0.17, -0.29, -1.63
550, -0.06, -5.42, 6.27, 0.11, -0.41, -1.32
600, 1.85, -4.61, 9.35, 0.15, -0.43, -0.93
650, -0.30, -5.58, 6.64, -0.07, -0.19, -0.80
700, 0.72, -5.75, 5.33, 0.34, 0.02, -0.60
750, -1.65, -5.75, 2.63, 1.01, 0.02, -0.54
800, 3.51, -5.22, 2.25, 1.81, 1.15, -0.82
850, 17.09, -3.43, 5.15, 2.79, -0.44, 1.40
900, 0.83, 4.77, 19.80, 2.21, 0.03, 3.21
950, -18.48, 4.02, 18.96, 0.26, 0.14, 1.54
