Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -4.39, -1.61, 7.84, -0.03, -0.22, 0.25
50, -5.42, -1.33, 8.07, 0.06, -0.30, 0.36
100, -4.91, -1.49, 7.89, 0.08, -0.38, 0.25
150, -6.85, -0.62, 9.35, 0.19, -0.02, 0.24
200, -17.10, 1.61, 12.57, -0.50, -0.35, -1.18
250, -7.76, 0.45, 8.71, -0.63, 0.41, -2.76
300, -4.07, -0.62, 7.68, -0.57, 0.26, -2.72
350, -3.73, -1.95, 7.19, -0.39, 0.07, -2.91
400, 0.79, -2.82, 6.66, 0.11, 0.13, -2.70
450, 3.33, -4.25, 6.49, 0.06, -0.74, -1.37
500, -1.98, -4.34, 6.84, 0.38, -0.65, -1.15
550, -1.19, -3.85, 9.43, 0.34, -0.38, -1.06
600, -0.81, -4.39, 7.23, 0.38, -0.37, -1.21
650, -1.73, -3.86, 8.57, 0.40, -0.28, -1.17
700, -0.04, -4.24, 5.34, 0.63, 0.24, -1.34
750, 2.04, -4.15, 5.83, 1.08, 0.09, -1.24
800, 8.68, -4.26, 5.63, 1.62, 0.65, -0.47
850, 12.92, -1.50, 7.48, 2.18, 0.20, 1.55
900, -2.04, 3.77, 17.70, 1.63, -0.78, 2.68
950, -9.91, 3.45, 19.14, 0.21, 0.22, 1.39
