Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -10.07, 0.60, 10.66, -0.05, -0.08, 0.17
50, -18.56, 3.00, 12.45, -0.82, -0.38, -1.41
100, -11.21, 1.76, 5.99, -0.51, 0.31, -3.35
150, -2.99, 2.58, 10.45, -0.82, -0.11, -3.62
200, -3.15, 0.16, 7.44, -0.85, 0.16, -3.58
250, 1.37, -1.17, 5.41, -0.53, -0.26, -3.26
300, 7.71, -5.26, 5.06, -0.23, -0.45, -2.01
350, 3.10, -5.77, 5.97, 0.11, -0.50, -0.53
400, -0.38, -5.18, 6.61, 0.26, -0.27, -0.59
450, -2.55, -5.03, 5.74, 0.53, -0.55, -0.57
500, 1.86, -4.82, 7.52, 0.80, 0.01, -0.76
550, -0.25, -4.95, 3.34, 1.24, 0.23, -0.37
600, 8.73, -4.73, 3.13, 2.23, 0.74, -0.06
650, 11.64, 0.40, 10.93, 2.56, 0.28, 2.46
700, -11.07, 5.44, 18.51, 1.58, -0.85, 2.84
750, -12.17, 2.88, 19.29, 0.14, 0.42, 0.23
800, -0.74, -0.99, 9.86, -0.54, 0.45, -0.71
850, 0.54, -1.88, 8.06, -0.25, 0.14, -0.12
900, -2.95, -1.12, 8.51, -0.07, 0.00, 0.05
950, -1.49, -1.31, 8.79, 0.01, -0.02, -0.20
