Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -17.16, 2.89, 10.25, -0.63, -0.34, -1.54
50, -10.78, 1.95, 3.94, -0.42, -0.46, -3.21
100, -5.40, 2.89, 7.12, 0.14, -0.14, -3.89
150, -0.65, 1.07, 8.64, -0.04, -0.49, -3.53
200, -3.21, -0.68, 5.77, -0.05, -0.19, -3.20
250, -1.14, -1.58, 4.92, 0.46, -0.43, -3.19
300, 1.92, -1.87, 6.94, 0.52, -0.82, -2.77
350, 4.52, -3.54, 4.74, 0.79, -0.91, -1.77
400, 3.24, -3.28, 3.62, 1.45, -0.58, -1.17
450, 5.03, -1.69, 6.04, 2.13, 0.53, -0.85
500, 12.27, -0.13, 9.41, 2.46, 0.85, 0.47
550, 6.39, 3.73, 15.27, 1.96, 1.31, 2.57
600, -6.42, 5.02, 15.72, 0.94, 0.34, 2.73
650, -13.70, 3.56, 14.88, -0.05, 0.83, 0.92
700, -4.77, 1.00, 9.56, -0.44, 0.76, -0.30
750, -2.88, 0.07, 8.01, -0.37, 0.48, -0.10
800, -3.67, 0.15, 7.60, -0.12, 0.15, -0.07
850, -2.49, 0.24, 8.01, 0.06, -0.04, -0.22
900, -1.53, 0.35, 9.38, 0.06, -0.07, -0.03
950, -2.74, 0.51, 9.70, 0.08, -0.06, 0.04
