Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -10.01, -0.96, 10.82, -0.36, 0.01, 0.18
50, -12.63, -1.69, 4.74, -0.58, -0.00, -0.76
100, -8.82, -2.84, 2.41, 0.04, -0.10, -1.48
150, -5.92, -2.98, 5.58, 0.37, -0.14, -1.56
200, -5.86, -2.65, 9.20, 0.22, -0.25, -1.66
250, -2.73, -3.90, 6.28, -0.02, -0.05, -1.58
300, -5.25, -4.24, 5.72, 0.23, -0.01, -1.29
350, -4.33, -4.57, 5.66, 0.28, -0.01, -1.31
400, -5.38, -4.35, 7.10, 0.46, -0.37, -1.17
450, -3.45, -4.77, 6.80, 0.39, -0.27, -1.19
500, -2.99, -4.76, 8.75, 0.31, -0.26, -1.02
550, -8.31, -4.52, 5.35, 0.15, 0.45, -1.52
600, -2.78, -4.45, 5.86, 0.83, -0.38, -1.77
650, -1.86, -4.65, 7.64, 0.62, -0.38, -1.53
700, -2.91, -4.38, 5.59, 0.80, -0.67, -1.44
750, 0.93, -4.34, 6.57, 1.06, -0.51, -1.52
800, 5.15, -4.61, 5.25, 1.56, 0.92, -1.08
850, 11.43, -3.95, 7.48, 1.98, 0.49, 0.38
900, 10.56, 0.49, 13.74, 1.85, -0.21, 2.80
950, -13.97, 3.27, 18.01, 0.51, 0.07, 2.52
