Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.45, 7.76, 20.19, -3.01, 0.48, 0.24
50, 3.31, 10.09, 18.63, -4.37, 0.53, 0.59
100, -2.68, 11.02, 12.11, -4.37, 1.10, 0.38
150, -1.57, 6.11, 3.72, -4.37, 1.16, -0.32
200, -1.05, -0.46, -3.57, -4.37, 0.74, -0.26
250, -1.30, -5.68, -6.35, -4.25, 1.00, -0.47
300, -0.18, -10.60, -11.79, -2.53, 0.49, -0.32
350, -2.10, -10.27, -6.94, -0.79, 0.06, 0.04
400, -1.56, -9.59, -3.09, -0.39, -0.03, 0.01
450, -2.12, -9.62, -2.57, 0.07, -0.06, -0.01
500, -1.46, -9.42, -0.28, 0.14, -0.06, -0.08
550, -0.76, -9.75, 0.76, 0.20, -0.02, 0.02
600, -2.12, -10.22, -0.39, 0.23, -0.08, 0.06
650, -1.76, -10.13, 0.66, 0.21, -0.14, 0.04
700, -2.35, -9.34, 3.00, 0.32, -0.01, 0.02
750, -1.98, -9.71, 1.95, 0.07, -0.02, -0.03
800, -1.81, -10.02, 0.70, 0.10, -0.03, -0.06
850, -1.23, -9.32, 2.07, 0.13, -0.03, 0.02
900, -2.26, -9.37, 2.48, -0.14, 0.02, -0.03
950, -1.14, -10.28, 0.39, 0.10, -0.04, -0.00
